number,opened_at,resolved_at,closed_at,short_description,description,category,subcategory,priority,urgency,impact,assignment_group,assigned_to,state,reassignment_count,reopen_count,contact_type,cmdb_ci,requesting_department,sla_due,made_sla
INC100014,2025-09-14 16:48:09,2025-09-15 08:07:31,2025-09-16 02:07:31,Mailbox not syncing,Incident 100014: user reports hr portal issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Messaging.,Email,Mailbox,P2,1,2,Messaging,Vikram Singh,Closed,0,0,Phone,Mail-Gateway,Sales,2025-09-15 04:48:09,True
INC100015,2025-09-27 14:22:39,2025-09-28 07:16:08,2025-09-30 12:16:08,Unexpected error in business application,Incident 100015: user reports finance app issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Database Operations.,Storage,NAS,P2,1,2,Database Operations,Nina Patel,Closed,1,0,Phone,Business-Service,HR,2025-09-28 02:22:39,True
INC100016,2025-09-23 16:29:48,2025-09-25 21:05:30,2025-09-25 23:05:30,Firewall blocks application traffic,Incident 100016: user reports aws issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Network Operations.,Network,VPN,P4,3,3,Network Operations,Emily Stone,Closed,1,0,Self-service,VPN-Gateway,HR,2025-09-27 16:29:48,True
INC100017,2025-09-23 12:57:13,2025-10-02 19:08:41,2025-10-04 17:08:41,Batch job failed,Incident 100017: user reports hr portal issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via email and was routed to Application Support.,Storage,Backup,P4,3,3,Application Support,Maya Chen,Closed,2,0,Email,Business-Service,Sales,2025-09-27 12:57:13,True
INC100018,2025-09-24 17:35:06,2025-10-02 02:23:33,2025-10-04 17:23:33,Spam filtering issue,Incident 100018: user reports finance app issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via email and was routed to Platform Engineering.,Email,Mailbox,P4,3,3,Platform Engineering,Sara Thomas,Closed,2,0,Email,Spam-Filter,Customer Support,2025-09-28 17:35:06,True
INC100019,2025-09-09 16:50:19,2025-09-11 18:27:54,2025-09-12 22:27:54,Batch job failed,Incident 100019: user reports aws issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Integration Support.,Integration,API,Sev4,3,3,Integration Support,Nina Patel,Closed,0,0,Phone,Generic-App,Legal,2025-09-13 16:50:19,True
INC100020,2025-09-08 10:49:39,2025-09-09 19:30:54,2025-09-11 23:30:54,Spam filtering issue,Incident 100020: user reports crm issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Messaging.,Email,Spam,P3,2,2,Messaging,Vikram Singh,Closed,0,0,Phone,Mail-Gateway,Customer Support,2025-09-10 10:49:39,True
INC100021,2025-09-08 10:36:34,2025-09-11 15:37:54,2025-09-12 23:37:54,DNS lookup failures reported,Incident 100021: user reports finance app issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via email and was routed to Network Operations.,Network,LAN,P4,3,3,Network Operations,Rahul Shah,Closed,1,0,Email,DNS-Cluster,Marketing,2025-09-12 10:36:34,True
INC100022,2025-09-30 13:10:37,2025-10-01 22:43:05,2025-10-04 02:43:05,Endpoint security alert raised,Incident 100022: user reports erp issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Security Operations.,Security,Phishing,P3,2,2,Security Operations,Sara Thomas,Closed,0,0,Phone,Business-Service,Marketing,2025-10-02 13:10:37,True
INC100023,2025-09-08 09:28:10,2025-09-12 22:55:53,2025-09-15 17:55:53,Calendar invitations missing,Incident 100023: user reports crm issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Collaboration Support.,Email,Spam,P4,3,3,Collaboration Support,Vikram Singh,Closed,2,0,Monitoring,Spam-Filter,Legal,2025-09-12 09:28:10,True
INC100024,2025-09-22 08:28:20,2025-09-23 16:47:45,2025-09-24 09:47:45,HR portal unavailable,Incident 100024: user reports vpn issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Application Support.,Application,CRM,Sev3,2,2,Application Support,Owen Brooks,Closed,0,0,Monitoring,ERP-Prod,Customer Support,2025-09-24 08:28:20,True
INC100025,2025-09-02 08:08:46,,2025-09-06 21:16:03,OS update failed,Incident 100025: user reports erp issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via walk-up and was routed to EU Software.,Software,Database Client,P3,2,2,EU Software,Maya Chen,Closed,0,0,Walk-up,Chrome,HR,2025-09-04 08:08:46,True
INC100026,2025-09-24 09:27:43,,2025-09-26 21:57:17,Spam filtering issue,Incident 100026: user reports erp issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Messaging.,Email,Outlook,Sev1,1,1,Messaging,Rahul Shah,In Progress,0,0,Chat,Exchange,Procurement,2025-09-24 13:27:43,True
INC100027,2025-09-14 07:33:45,2025-09-16 01:19:17,2025-09-18 12:19:17,problem,Incident 100027: user reports crm issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Database Operations.,Database,Performance,P4,3,3,Database Operations,Owen Brooks,Closed,0,0,Phone,Business-Service,HR,2025-09-18 07:33:45,True
INC100028,2025-09-08 10:44:27,,2025-09-10 14:28:05,CRM page returns an error,Incident 100028: user reports finance app issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Identity & Access.,Application,Finance App,P4,3,3,Identity & Access,Kiran Joshi,In Progress,2,0,Monitoring,CRM-Prod,Operations,2025-09-12 10:44:27,True
INC100029,2025-09-16 18:32:10,,2025-09-19 15:23:14,Monitor flickers after docking,Incident 100029: user reports erp issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via chat and was routed to End User Computing.,Hardware,Monitor,Sev3,2,2,End User Computing,Vikram Singh,In Progress,1,0,Chat,Laptop,Marketing,2025-09-18 18:32:10,True
INC100030,2025-09-28 08:19:17,2025-09-29 13:58:35,2025-10-02 00:58:35,User locked out after failed login,Incident 100030: user reports azure issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Identity & Access.,Access,MFA,Sev3,2,2,Identity & Access,Owen Brooks,Closed,0,0,Self-service,Identity-Platform,Operations,2025-09-30 08:19:17,True
INC100031,2025-09-09 20:35:28,2025-09-11 14:02:11,2025-09-14 09:02:11,urgent pls,Incident 100031: user reports aws issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to End User Computing.,Hardware,Printer,Sev3,2,2,End User Computing,Kiran Joshi,Closed,0,0,Self-service,Printer,Finance,2025-09-11 20:35:28,True
INC100032,2025-09-02 11:20:32,2025-09-04 04:51:54,2025-09-06 00:51:54,Service interruption reported,Incident 100032: user reports erp issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via chat and was routed to End User Computing.,Printing,Printer Offline,P4,3,3,End User Computing,Vikram Singh,Closed,0,0,Chat,Generic-App,Marketing,2025-09-06 11:20:32,True
INC100033,2025-09-01 11:04:53,2025-09-04 04:13:21,2025-09-06 03:13:21,Laptop will not boot,Incident 100033: user reports erp issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via email and was routed to End User Computing.,Hardware,Monitor,P4,3,3,End User Computing,Owen Brooks,Closed,1,1,Email,Laptop,Finance,2025-09-05 11:04:53,True
INC100034,2025-09-10 12:05:08,2025-09-12 16:33:09,2025-09-12 17:33:09,Firewall blocks application traffic,Incident 100034: user reports service portal issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Network Operations.,Network,Wi-Fi,P4,3,3,Network Operations,Maya Chen,Closed,1,0,Self-service,Core-Switch,HR,2025-09-14 12:05:08,True
INC100035,2025-09-23 05:34:02,2025-09-24 03:49:29,2025-09-26 13:49:29,Unexpected error in business application,Incident 100035: user reports service portal issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Infrastructure.,Virtualization,VM,P2,1,2,Infrastructure,Nina Patel,Closed,0,1,Chat,Generic-App,Engineering,2025-09-23 17:34:02,True
INC100036,2025-09-09 04:14:42,2025-09-11 16:19:09,2025-09-13 17:19:09,Monitor flickers after docking,Incident 100036: user reports azure issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Integration Support.,Hardware,Monitor,Sev4,3,3,Integration Support,Sara Thomas,Closed,1,0,Phone,Monitor,Operations,2025-09-13 04:14:42,True
INC100037,2025-09-27 13:48:02,2025-09-29 13:18:57,2025-10-02 12:18:57,Outlook unavailable,Incident 100037: user reports exchange issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via walk-up and was routed to Messaging.,Email,Mailbox,Sev4,3,3,Messaging,Owen Brooks,Closed,0,0,Walk-up,Calendar,Sales,2025-10-01 13:48:02,True
INC100038,2025-09-29 11:24:47,,2025-10-06 08:09:10,Unexpected error in business application,Incident 100038: user reports azure issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Mobility.,Mobile,Mobile App,P4,3,3,Mobility,Asha Rao,In Progress,1,0,Phone,Business-Service,Finance,2025-10-03 11:24:47,True
INC100039,2025-09-08 10:04:18,2025-09-09 09:44:46,2025-09-09 23:44:46,DNS lookup failures reported,Incident 100039: user reports finance app issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via walk-up and was routed to Network Operations.,Network,VPN,P4,3,3,Network Operations,Daniel Kim,Closed,0,0,Walk-up,VPN-Gateway,Operations,2025-09-12 10:04:18,True
INC100040,2025-09-15 10:29:08,2025-09-16 15:41:30,2025-09-17 23:41:30,Calendar invitations missing,Incident 100040: user reports vpn issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Messaging.,Email,Outlook,P3,2,2,Messaging,Daniel Kim,Closed,0,1,Self-service,Calendar,Customer Support,2025-09-17 10:29:08,True
INC100041,2025-09-21 09:42:08,,2025-09-24 03:43:08,urgent pls,Incident 100041: user reports exchange issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via phone and was routed to End User Computing.,Hardware,Printer,P2,1,2,End User Computing,Priya Nair,In Progress,0,0,Phone,Laptop,HR,2025-09-21 21:42:08,True
INC100042,2025-09-21 10:46:39,2025-09-23 08:20:39,2025-09-24 23:20:39,User locked out after failed login,Incident 100042: user reports finance app issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Identity & Access.,Access,Password,P2,1,2,Identity & Access,Owen Brooks,Closed,1,3,Chat,Identity-Platform,Legal,2025-09-21 22:46:39,False
INC100043,2025-09-23 13:06:40,2025-09-27 02:57:17,2025-09-27 08:57:17,Suspicious email reported,Incident 100043: user reports hr portal issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Messaging.,Security,Certificate,P4,3,3,Messaging,Nina Patel,Closed,2,0,Monitoring,Shared-Service,IT,2025-09-27 13:06:40,True
INC100044,2025-09-19 09:05:56,2025-09-21 18:04:55,2025-09-24 14:04:55,Mailbox not syncing,Incident 100044: user reports erp issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Messaging.,Email,Spam,P4,3,3,Messaging,Kiran Joshi,Closed,0,0,Self-service,Mail-Gateway,Operations,2025-09-23 09:05:56,True
INC100045,2025-09-06 10:49:28,2025-09-06 16:49:27,2025-09-07 09:49:27,Shared service unavailable,Incident 100045: user reports service portal issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Infrastructure.,Virtualization,Snapshot,P1,1,1,Infrastructure,Emily Stone,Closed,0,0,Monitoring,Business-Service,Engineering,2025-09-06 14:49:28,True
INC100046,2025-09-22 09:02:41,2025-09-23 15:56:16,2025-09-24 09:56:16,Firewall blocks application traffic,Incident 100046: user reports hr portal issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via email and was routed to Network Operations.,Network,Firewall,Sev3,2,2,Network Operations,Daniel Kim,Closed,1,0,Email,DNS-Cluster,Finance,2025-09-24 09:02:41,True
INC100047,2025-09-24 20:06:04,2025-09-26 19:41:27,2025-09-29 07:41:27,ERP transaction fails,Incident 100047: user reports aws issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Application Support.,Application,ERP,P3,2,2,Application Support,Daniel Kim,Closed,0,0,Phone,ERP-Prod,Marketing,2025-09-26 20:06:04,True
INC100048,2025-09-29 08:40:27,,2025-10-04 22:14:53,DNS lookup failures reported,Incident 100048: user reports finance app issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via email and was routed to Network Operations.,Network,Wi-Fi,P3,2,2,Network Operations,Priya Nair,In Progress,0,0,Email,WiFi-Controller,HR,2025-10-01 08:40:27,True
INC100049,2025-09-04 10:25:28,2025-09-04 15:48:45,2025-09-05 06:48:45,help!!!,Incident 100049: user reports exchange issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Application Support.,Application,CRM,P2,1,2,Application Support,Daniel Kim,Closed,0,0,Monitoring,Service-Portal,Operations,2025-09-04 22:25:28,True
INC100050,2025-09-18 08:30:51,2025-09-18 21:39:45,2025-09-19 22:39:45,DNS lookup failures reported,Incident 100050: user reports aws issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Network Operations.,Network,LAN,Sev2,1,2,Network Operations,Maya Chen,Closed,0,0,Self-service,DNS-Cluster,HR,2025-09-18 20:30:51,True
INC100051,2025-09-15 09:53:46,2025-09-26 02:49:08,2025-09-28 09:49:08,Endpoint security alert raised,Incident 100051: user reports service portal issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via email and was routed to Security Operations.,Security,Malware,Sev4,3,3,Security Operations,Priya Nair,Closed,0,0,Email,Shared-Service,Marketing,2025-09-19 09:53:46,True
INC100052,2025-09-27 05:11:01,2025-10-01 10:15:56,2025-10-03 08:15:56,Wi-Fi drops intermittently,Incident 100052: user reports crm issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Network Operations.,Network,VPN,Sev4,3,3,Network Operations,Asha Rao,Closed,0,0,Self-service,DNS-Cluster,Marketing,2025-10-01 05:11:01,True
INC100053,2025-09-30 09:12:58,2025-10-03 14:33:42,2025-10-04 14:33:42,Wi-Fi drops intermittently,Incident 100053: user reports azure issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via email and was routed to Network Operations.,Network,DNS,P3,2,2,Network Operations,Sara Thomas,Closed,0,1,Email,Firewall-01,Engineering,2025-10-02 09:12:58,True
INC100054,2025-09-12 06:34:54,2025-09-14 07:41:48,2025-09-15 08:41:48,Browser fails to load internal portal,Incident 100054: user reports crm issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via email and was routed to EU Software.,Software,Endpoint Client,P3,2,2,EU Software,Daniel Kim,Closed,1,0,Email,Database-Client,Finance,2025-09-14 06:34:54,True
INC100055,2025-09-22 09:03:25,2025-09-26 02:37:21,2025-09-26 06:37:21,Shared service unavailable,Incident 100055: user reports vpn issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via email and was routed to Cloud Operations.,Cloud,Storage,P4,3,3,Cloud Operations,Asha Rao,Closed,0,0,Email,Shared-Service,Engineering,2025-09-26 09:03:25,True
INC100056,2025-09-26 23:21:09,2025-09-30 11:29:59,2025-10-02 05:29:59,HR portal unavailable,Incident 100056: user reports finance app issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Application Support.,Application,Service Portal,Sev4,3,3,Application Support,Nina Patel,Closed,0,0,Chat,HR-Portal,Operations,2025-09-30 23:21:09,True
INC100057,2025-09-27 09:12:11,2025-09-28 13:57:08,2025-09-28 19:57:08,Suspicious email reported,Incident 100057: user reports exchange issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Platform Engineering.,Security,Phishing,P2,1,2,Platform Engineering,Daniel Kim,Closed,2,0,Self-service,Shared-Service,Sales,2025-09-27 21:12:11,False
INC100058,2025-09-16 11:26:58,2025-09-18 11:35:31,2025-09-21 07:35:31,Certificate warning shown,Incident 100058: user reports service portal issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via email and was routed to Security Operations.,Security,Endpoint Alert,Sev4,3,3,Security Operations,Daniel Kim,Closed,0,0,Email,Business-Service,Customer Support,2025-09-20 11:26:58,True
INC100059,2025-09-29 10:23:51,2025-09-30 23:02:17,2025-10-01 00:02:17,Shared service unavailable,Incident 100059: user reports erp issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Mobility.,Mobile,Device Enrollment,Sev3,2,2,Mobility,Priya Nair,Closed,0,0,Chat,Business-Service,Finance,2025-10-01 10:23:51,True
INC100060,2025-09-22 10:23:58,2025-10-04 04:26:47,2025-10-05 01:26:47,MFA challenge not arriving,Incident 100060: user reports aws issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Integration Support.,Access,Account Lockout,P4,3,3,Integration Support,Rahul Shah,Closed,2,0,Self-service,Access-Portal,IT,2025-09-26 10:23:58,True
INC100061,2025-09-03 19:38:52,2025-09-04 21:54:43,2025-09-05 18:54:43,Calendar invitations missing,Incident 100061: user reports finance app issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Service Desk.,Email,Distribution List,P3,2,2,Service Desk,Emily Stone,Closed,1,0,Self-service,Calendar,Sales,2025-09-05 19:38:52,True
INC100062,2025-09-02 10:37:34,,2025-09-06 01:16:43,Calendar invitations missing,Incident 100062: user reports exchange issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Messaging.,Email,Calendar,Sev4,3,3,Messaging,Maya Chen,Open,0,0,Monitoring,Exchange,Operations,2025-09-06 10:37:34,True
INC100063,2025-09-09 19:55:54,,2025-09-13 02:33:15,Shared service unavailable,Incident 100063: user reports vpn issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via email and was routed to Mobility.,Mobile,SIM,Sev3,2,2,Mobility,Asha Rao,In Progress,0,0,Email,Generic-App,Legal,2025-09-11 19:55:54,True
INC100064,2025-09-17 18:32:37,2025-09-22 07:56:59,2025-09-22 14:56:59,Batch job failed,Incident 100064: user reports azure issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via email and was routed to Integration Support.,Integration,Interface,Sev4,3,3,Integration Support,Sara Thomas,Closed,0,0,Email,Business-Service,Operations,2025-09-21 18:32:37,True
INC100065,2025-09-03 09:14:09,2025-09-03 11:34:07,2025-09-04 12:34:07,Desktop freezes during startup,Incident 100065: user reports service portal issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via phone and was routed to End User Computing.,Hardware,Monitor,P1,1,1,End User Computing,Vikram Singh,Closed,0,0,Phone,Laptop,Finance,2025-09-03 13:14:09,True
INC100066,2025-09-29 10:47:42,2025-10-02 04:12:08,2025-10-03 22:12:08,Monitor flickers after docking,Incident 100066: user reports vpn issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Integration Support.,Hardware,Laptop,P3,2,2,Integration Support,Rahul Shah,Closed,2,0,Self-service,Desktop,Engineering,2025-10-01 10:47:42,True
INC100067,2025-09-24 10:41:27,2025-09-27 00:24:54,2025-09-28 11:24:54,Certificate warning shown,Incident 100067: user reports finance app issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Security Operations.,Security,Certificate,Sev3,2,2,Security Operations,Daniel Kim,Closed,0,0,Monitoring,Generic-App,Procurement,2025-09-26 10:41:27,True
INC100068,2025-09-02 16:00:45,2025-09-15 04:36:05,2025-09-17 17:36:05,Monitor flickers after docking,Incident 100068: user reports erp issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to End User Computing.,Hardware,Mobile Device,Sev4,3,3,End User Computing,Arjun Mehta,Closed,0,1,Self-service,Desktop,HR,2025-09-06 16:00:45,True
INC100069,2025-09-27 16:21:23,2025-09-30 02:15:29,2025-10-01 23:15:29,OS update failed,Incident 100069: user reports erp issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via email and was routed to EU Software.,Software,Database Client,P4,3,3,EU Software,Owen Brooks,Closed,0,0,Email,Office365,Engineering,2025-10-01 16:21:23,True
INC100070,2025-09-24 17:36:14,2025-09-25 22:07:39,2025-09-27 10:07:39,Unexpected error in business application,Incident 100070: user reports finance app issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Infrastructure.,Virtualization,VMware Tools,P3,2,2,Infrastructure,Maya Chen,Closed,0,0,Monitoring,Generic-App,Customer Support,2025-09-26 17:36:14,True
INC100071,2025-09-30 07:39:23,2025-10-03 05:22:55,2025-10-06 00:22:55,Endpoint client reports an error,Incident 100071: user reports erp issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via chat and was routed to EU Software.,Software,Endpoint Client,P3,2,2,EU Software,Vikram Singh,Closed,0,0,Chat,Database-Client,Procurement,2025-10-02 07:39:23,True
INC100072,2025-09-20 13:10:56,2025-09-23 21:39:47,2025-09-26 18:39:47,Security policy blocks action,Incident 100072: user reports service portal issue. Observed error HTTP-503. Impact appears limited to the requesting department. Ticket originated via email and was routed to Security Operations.,Security,Certificate,Sev4,3,3,Security Operations,Asha Rao,Closed,0,0,Email,Shared-Service,Engineering,2025-09-24 13:10:56,True
INC100073,2025-09-15 09:38:37,2025-09-17 00:12:09,2025-09-17 12:12:09,MFA challenge not arriving,Incident 100073: user reports service portal issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via email and was routed to Identity & Access.,Access,Password,Sev3,2,2,Identity & Access,Rahul Shah,Closed,2,0,Email,MFA-Service,Engineering,2025-09-17 09:38:37,True
INC100074,2025-09-10 10:11:52,2025-09-14 00:51:57,2025-09-14 21:51:57,Application access missing,Incident 100074: user reports exchange issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Cloud Operations.,Access,Account Lockout,Sev3,2,2,Cloud Operations,Kiran Joshi,Closed,2,0,Monitoring,MFA-Service,Operations,2025-09-12 10:11:52,True
